customer_id,category_id,product_id,interaction
customer_52,Electronics,Electronics Product 37,1
customer_1073,Tools & Hardware,Tools & Hardware Product 23,1
customer_436,Furniture,Furniture Product 34,1
customer_199,Home Appliances,Home Appliances Product 8,1
customer_1171,Tools & Hardware,Tools & Hardware Product 13,1
customer_1511,Garden & Outdoors,Garden & Outdoors Product 14,1
customer_1890,Jewelry,Jewelry Product 16,1
customer_1467,Office Supplies,Office Supplies Product 40,1
customer_544,Video Games,Video Games Product 11,1
customer_485,Books,Books Product 5,1
customer_1522,Garden & Outdoors,Garden & Outdoors Product 21,1
customer_1354,Musical Instruments,Musical Instruments Product 34,1
customer_1890,Toys & Games,Toys & Games Product 24,1
customer_521,Toys & Games,Toys & Games Product 14,1
customer_2558,Home Office Furniture,Ergonomic Chair,1
customer_1342,Home Appliances,Home Appliances Product 2,1
customer_2030,Clothing,Clothing Product 34,1
customer_1336,Musical Instruments,Musical Instruments Product 18,1
customer_871,Sporting Goods,Sporting Goods Product 22,1
customer_1356,Musical Instruments,Musical Instruments Product 33,1
customer_1971,Video Games,Video Games Product 14,1
customer_494,Groceries,Groceries Product 29,1
customer_509,Toys & Games,Toys & Games Product 6,1
customer_1319,Musical Instruments,Musical Instruments Product 6,1
customer_1862,Automotive,Automotive Product 11,1
customer_27,Health & Beauty,Health & Beauty Product 4,1
customer_314,Footwear,Footwear Product 28,1
customer_1141,Furniture,Furniture Product 16,1
customer_1154,Pet Supplies,Pet Supplies Product 19,1
customer_1678,Tools & Hardware,Tools & Hardware Product 1,1
customer_1891,Home Appliances,Home Appliances Product 2,1
customer_1318,Musical Instruments,Musical Instruments Product 26,1
customer_1523,Garden & Outdoors,Garden & Outdoors Product 6,1
customer_931,Groceries,Groceries Product 26,1
customer_2151,Toys & Games,Toys & Games Product 18,1
customer_2397,Baby Products,Baby Products Product 5,1
customer_415,Books,Books Product 18,1
customer_10,Electronics,Electronics Product 16,1
customer_1495,Toys & Games,Toys & Games Product 36,1
customer_550,Tools & Hardware,Tools & Hardware Product 28,1
customer_449,Books,Books Product 10,1
customer_2183,Tools & Hardware,Tools & Hardware Product 35,1
customer_1541,Garden & Outdoors,Garden & Outdoors Product 17,1
customer_1765,Baby Products,Baby Products Product 1,1
customer_1500,Sporting Goods,Sporting Goods Product 33,1
customer_39,Office Supplies,Office Supplies Product 42,1
customer_733,Furniture,Furniture Product 27,1
customer_2090,Groceries,Groceries Product 7,1
customer_487,Books,Books Product 17,1
customer_1205,Video Games,Video Games Product 3,1
customer_278,Clothing,Clothing Product 14,1
customer_395,Footwear,Footwear Product 9,1
customer_2267,Luggage & Travel Accessories,Luggage & Travel Accessories Product 12,1
customer_937,Groceries,Groceries Product 1,1
customer_2676,Home Office Furniture,Monitor Stand,1
customer_153,Home Appliances,Home Appliances Product 27,1
customer_2158,Electronics,Electronics Product 17,1
customer_1072,Jewelry,Jewelry Product 12,1
customer_2558,Home Office Furniture,Monitor Stand,1
customer_255,Musical Instruments,Musical Instruments Product 19,1
customer_582,Toys & Games,Toys & Games Product 20,1
customer_680,Health & Beauty,Health & Beauty Product 6,1
customer_1036,Jewelry,Jewelry Product 1,1
customer_333,Video Games,Video Games Product 6,1
customer_383,Footwear,Footwear Product 31,1
customer_530,Toys & Games,Toys & Games Product 38,1
customer_1528,Garden & Outdoors,Garden & Outdoors Product 19,1
customer_1508,Garden & Outdoors,Garden & Outdoors Product 15,1
customer_1861,Electronics,Electronics Product 11,1
customer_1436,Office Supplies,Office Supplies Product 50,1
customer_1041,Garden & Outdoors,Garden & Outdoors Product 18,1
customer_1850,Luggage & Travel Accessories,Luggage & Travel Accessories Product 13,1
customer_195,Home Appliances,Home Appliances Product 12,1
customer_221,Clothing,Clothing Product 11,1
customer_1120,Pet Supplies,Pet Supplies Product 10,1
customer_536,Home Appliances,Home Appliances Product 21,1
customer_1138,Home Appliances,Home Appliances Product 11,1
customer_716,Furniture,Furniture Product 10,1
customer_638,Health & Beauty,Health & Beauty Product 6,1
customer_1454,Tools & Hardware,Tools & Hardware Product 8,1
customer_1412,Automotive,Automotive Product 8,1
customer_1446,Office Supplies,Office Supplies Product 12,1
customer_1373,Musical Instruments,Musical Instruments Product 11,1
customer_785,Furniture,Furniture Product 32,1
customer_1651,Tools & Hardware,Tools & Hardware Product 24,1
customer_2284,Musical Instruments,Musical Instruments Product 20,1
customer_811,Sporting Goods,Sporting Goods Product 11,1
customer_418,Video Games,Video Games Product 13,1
customer_2260,Health & Beauty,Health & Beauty Product 12,1
customer_1341,Books,Books Product 14,1
customer_910,Groceries,Groceries Product 29,1
customer_1022,Jewelry,Jewelry Product 15,1
customer_1020,Jewelry,Jewelry Product 4,1
customer_953,Video Games,Video Games Product 8,1
customer_1464,Office Supplies,Office Supplies Product 12,1
customer_563,Automotive,Automotive Product 4,1
customer_636,Health & Beauty,Health & Beauty Product 1,1
customer_455,Office Supplies,Office Supplies Product 47,1
customer_1071,Jewelry,Jewelry Product 14,1
customer_1303,Musical Instruments,Musical Instruments Product 34,1
customer_1566,Sporting Goods,Sporting Goods Product 25,1
customer_985,Groceries,Groceries Product 3,1
customer_2374,Tools & Hardware,Tools & Hardware Product 14,1
customer_1213,Automotive,Automotive Product 6,1
customer_1172,Tools & Hardware,Tools & Hardware Product 29,1
customer_2383,Office Supplies,Office Supplies Product 33,1
customer_2294,Sporting Goods,Sporting Goods Product 17,1
customer_493,Books,Books Product 1,1
customer_912,Sporting Goods,Sporting Goods Product 29,1
